銘柄コード,銘柄名,終値,移動平均線乖離率25日,移動平均線乖離率75日,PER,PBR,経常成長率,EPS成長率,時価総額,決算発表予定日,経常利益1,経常利益2,経常利益3,EPS1,EPS2,EPS3
7893,プロネクサス,"7,700円",-,-,－,1.26,-1.55,-3.79,345億円,-,"2,772","2,729",－,71.2,68.5,－
7974,任天堂,"1,366円",4.04%,9.28%,29.8,3.84,5.21,5.86,"6兆5,887億円",2020/8/6,"277,355","360,461","290,000","1,615.50","2,171.20","1,678.90"
8001,伊藤忠商事,"3,885円",7.36%,19.07%,9.3,1.21,0.87,-8.18,"3兆9,765億円",2020/8/5,"695,383","701,430",－,324.1,335.6,268.8
8056,日本ユニシス,"2,734円",-3.33%,2.64%,17.1,2.44,12.96,10.59,"3,178億円",2020/8/6,"20,515","26,615","25,600",141.9,181.2,169.4
8306,三菱ＵＦＪ,"3,405円",5.23%,-3.56%,－,0.34,-8.33,-38.71,"5兆8,403億円",2020/8/4,"1,348,043","1,235,770",－,66.9,41,－
8473,ＳＢＩホールディングス,253円,-1.12%,5.65%,－,1.17,-20.74,-29.47,"5,436億円",-,"83,037","65,819",－,231.4,163.2,－
8604,野村ホールディングス,"2,641円",-3.82%,-1.58%,－,0.59,-758.5,-326.76,"1兆8,645億円",-,"-37,701","248,261",－,-29.9,67.8,－
8697,日本取引所グループ,"1,998円",-3.45%,0.54%,32,4.62,-6.26,-6.82,"1兆3,607億円",-,"70,786","69,095","62,100",91.6,88.9,79.4
8789,フィンテック,727円,-1.87%,7.90%,－,1.3,50.77,68.75,88.5億円,2020/8/12,"-1,227","-1,850",－,-4.8,-8.1,－
8927,明豊エンタープライズ,"1,855円",1.14%,-4.85%,26.9,1.26,-24.01,-23.64,56.2億円,2020/9/14,"2,624",291,410,93.9,5.8,8.5
9262,シルバーライフ,"2,726円",5.98%,8.26%,31.4,5.05,27.4,21.04,210億円,2020/9/11,677,"1,002","1,070",43.7,60.2,62.8
9279,ギフト,"3,765円",-2.47%,-3.68%,101,4.2,-4.06,-39.56,134億円,2020/9/14,777,"1,023",616,55.8,53.6,13.3
9684,スクエニＨＤ,"5,750円",-4.54%,-1.21%,－,3.34,12.95,10.09,"7,903億円",2020/8/6,"28,415","32,095",－,162.6,179,－
9697,カプコン,"13,680円",3.16%,6.60%,29,4.98,18.63,21.1,"6,623億円",-,"18,194","22,957","25,500",115.5,149.4,168.6
9749,富士ソフト,"1,667円",5.44%,9.01%,18.4,1.31,7.32,11.17,"1,582億円",2020/8/13,"12,071","13,749","13,850",208.2,250.4,255.6
9766,コナミホールディングス,"1,334円",-11.33%,-11.04%,－,1.89,-39.58,-41.76,"5,525億円",2020/8/6,"50,310","30,395",－,252.9,147.3,－
9783,ベネッセＨＤ,"5,010円",3.13%,0.78%,－,1.58,37.93,28.29,"2,725億円",2020/8/7,"12,150","16,759",－,50.9,65.3,－
9792,ニチイ学館,"7,897円",1.93%,3.97%,－,2.86,31.21,-33.68,"1,218億円",2020/8/7,"5,703","7,483",－,95,63,－
9843,ニトリホールディングス,"2,006円",7.18%,13.45%,33,4.28,4.86,5.13,"2兆5,401億円",-,"103,053","109,522","113,300",608,635.4,672
9887,松屋フーズ,"5,290円",-3.27%,5.87%,－,1.64,30.03,18.56,669億円,-,"4,182","5,438",－,115.3,136.7,－
9889,ＪＢＣＣＨＤ,382円,-1.43%,-8.03%,16.2,1.48,-2.95,-4.6,270億円,-,"2,738","3,606","2,250",106.4,119.8,93.7
9984,ソフトバンクグループ,"4,772円",-2.66%,12.51%,－,1.83,-97.9,-175.46,"13兆2,933億円",2020/8/11,"1,691,302","35,492",－,634.1,-478.5,－
